2019-12-18,,47,
2019-12-19,,56,
2019-12-20,,64,
2019-12-21,,54,
2019-12-22,,53,
2019-12-23,,46,
2019-12-24,,40,
2019-12-25,,47,
2019-12-26,,47,
2019-12-27,,50,
2019-12-28,,52,
2019-12-29,,53,
2019-12-30,,54,
2019-12-31,,42,
2020-01-01,,69,
2020-01-02,,48,
2020-01-03,,44,
2020-01-04,,69,
2020-01-05,,70,
2020-01-06,,50,
2020-01-07,,38,
2020-01-08,,46,
2020-01-09,,120,
2020-01-10,,202,
2020-01-11,,232,
2020-01-12,,275,
2020-01-13,,233,
2020-01-14,,281,
2020-01-15,,368,
2020-01-16,,316,
2020-01-17,,395,
2020-01-18,,444,
2020-01-19,,485,
2020-01-20,,484,
2020-01-21,,443,
2020-01-22,,494,
2020-01-23,,467,
2020-01-24,,436,
2020-01-25,,523,
2020-01-26,,461,
2020-01-27,,500,
2020-01-28,,546,
2020-01-29,,469,
2020-01-30,,475,
2020-01-31,,492,
2020-02-01,,604,
2020-02-02,,584,
2020-02-03,,594,
2020-02-04,,575,
2020-02-05,,630,
2020-02-06,,602,
2020-02-07,,675,
2020-02-08,,677,
2020-02-09,,651,
2020-02-10,,601,
2020-02-11,,595,
2020-02-12,,621,
2020-02-13,,629,
2020-02-14,,532,
2020-02-15,,645,
2020-02-16,,651,
2020-02-17,,668,
2020-02-18,,631,
2020-02-19,,630,
2020-02-20,,672,
2020-02-21,,631,
2020-02-22,,658,
2020-02-23,,693,
2020-02-24,,649,
2020-02-25,,626,
2020-02-26,,628,
2020-02-27,,709,
2020-02-28,,647,
2020-02-29,,705,
2020-03-01,,642,
2020-03-02,,623,
2020-03-03,,641,
2020-03-04,,685,
2020-03-05,,624,
2020-03-06,,553,
2020-03-07,,602,
2020-03-08,,603,
2020-03-09,,590,
2020-03-10,,636,
2020-03-11,,601,
2020-03-12,,585,
2020-03-13,,609,
2020-03-14,,671,
2020-03-15,,668,
2020-03-16,,678,
2020-03-17,,694,
2020-03-18,,695,
2020-03-19,,708,
2020-03-20,,665,
2020-03-21,,694,
2020-03-22,,699,
2020-03-23,,606,
2020-03-24,,623,
2020-03-25,,657,
2020-03-26,,631,
2020-03-27,,646,
2020-03-28,,671,
2020-03-29,,763,
2020-03-30,,681,
2020-03-31,,695,
2020-04-01,,746,
2020-04-02,,890,
2020-04-03,,910,13927
2020-04-04,,1059,14344
2020-04-05,,1048,14497
2020-04-06,,923,13052
2020-04-07,,915,13005
2020-04-08,,897,12820
2020-04-09,,880,12598
2020-04-10,,850,12448
2020-04-11,,867,13154
2020-04-12,,965,13355
2020-04-13,,780,12561
2020-04-14,,724,12176
2020-04-15,,709,12214
2020-04-16,,717,12092
2020-04-17,,736,12086
2020-04-18,,814,12565
2020-04-19,,791,12839
2020-04-20,,743,11812
2020-04-21,,709,11796
2020-04-22,,719,11563
2020-04-23,,687,11478
2020-04-24,,750,11614
2020-04-25,,774,12150
2020-04-26,,802,12301
2020-04-27,,672,11020
2020-04-28,,624,10704
2020-04-29,,642,10632
2020-04-30,,739,10445
2020-05-01,,694,9112
2020-05-02,,665,9560
2020-05-03,,648,10768
2020-05-04,,602,9773
2020-05-05,,602,9362
2020-05-06,,582,9269
2020-05-07,,593,8852
2020-05-08,,572,9096
2020-05-09,,584,9801
2020-05-10,,616,10170
2020-05-11,,565,9310
2020-05-12,,554,9010
2020-05-13,,512,9608
2020-05-14,,642,9568
2020-05-15,,745,9396
2020-05-16,,890,12096
2020-05-17,,789,11922
2020-05-18,,591,9932
2020-05-19,,540,9433
2020-05-20,,530,9350
2020-05-21,,518,8891
2020-05-22,,515,9070
2020-05-23,,842,12404
2020-05-24,,859,12083
2020-05-25,,578,10170
2020-05-26,,503,9741
2020-05-27,,531,9710
2020-05-28,,521,9379
2020-05-29,,560,9333
2020-05-30,,583,11653
2020-05-31,,540,11375
,0,,
2020-06-01,,,9142
