,0
2020-04-06,14251
2020-04-07,14183
2020-04-08,13932
2020-04-09,13711
2020-04-10,13533
2020-04-11,14239
2020-04-12,14540
2020-04-13,13548
2020-04-14,13084
2020-04-15,13112
2020-04-16,12983
2020-04-17,12999
2020-04-18,13538
2020-04-19,13814
2020-04-20,12739
2020-04-21,12668
2020-04-22,12452
2020-04-23,12283
2020-04-24,12542
2020-04-25,13120
2020-04-26,13281
2020-04-27,11853
2020-04-28,11488
2020-04-29,11428
2020-04-30,11332
2020-05-01,9954
2020-05-02,10371
2020-05-03,11576
2020-05-04,10571
2020-05-05,10137
2020-05-06,10033
2020-05-07,9576
2020-05-08,9830
2020-05-09,10522
2020-05-10,10932
2020-05-11,10006
2020-05-12,9699
2020-05-13,10244
2020-05-14,10413
2020-05-15,10311
2020-05-16,13189
2020-05-17,12869
2020-05-18,10659
2020-05-19,10139
2020-05-20,9977
2020-05-21,9536
2020-05-22,9727
2020-05-23,13428
2020-05-24,13158
2020-05-25,10891
2020-05-26,10350
2020-05-27,10360
2020-05-28,10022
2020-05-29,10033
2020-05-30,12400
2020-05-31,12019
2020-06-01,9142
